task_pair_id,attempts,solve_rate,lm_mean,lm_best_single_model,gap_vs_lm_mean,gap_vs_best_single_model,direction
a47bf94d__0,10,0.9,0.0256410256410256,0,0.8743589743589744,0.9,Human > best single
8698868d__0,10,0.9,0.0769230769230769,0,0.823076923076923,0.9,Human > best single
a25697e4__1,9,0.8888888888888888,0.0,0,0.8888888888888888,0.8888888888888888,Human > best single
78332cb0__1,9,0.8888888888888888,0.0,0,0.8888888888888888,0.8888888888888888,Human > best single
135a2760__0,9,0.8888888888888888,0.0769230769230769,0,0.811965811965812,0.8888888888888888,Human > best single
7b5033c1__0,9,0.8888888888888888,0.1025641025641025,0,0.7863247863247863,0.8888888888888888,Human > best single
53fb4810__0,9,0.8888888888888888,0.2051282051282051,0,0.6837606837606838,0.8888888888888888,Human > best single
3dc255db__0,8,0.875,0.0769230769230769,0,0.7980769230769231,0.875,Human > best single
de809cff__0,10,0.8,0.0,0,0.8,0.8,Human > best single
28a6681f__0,10,0.8,0.0,0,0.8,0.8,Human > best single
f931b4a8__0,15,0.1333333333333333,0.2564102564102564,1,-0.123076923076923,-0.8666666666666667,Best single > human
7b3084d4__0,9,0.2222222222222222,0.0512820512820512,1,0.1709401709401709,-0.7777777777777778,Best single > human
6e4f6532__1,10,0.3,0.0256410256410256,1,0.2743589743589743,-0.7,Best single > human
65b59efc__1,9,0.3333333333333333,0.282051282051282,1,0.0512820512820512,-0.6666666666666667,Best single > human
221dfab4__1,11,0.3636363636363636,0.0256410256410256,1,0.337995337995338,-0.6363636363636364,Best single > human
88bcf3b4__0,8,0.375,0.0256410256410256,1,0.3493589743589743,-0.625,Best single > human
20270e3b__0,8,0.375,0.0512820512820512,1,0.3237179487179487,-0.625,Best single > human
1ae2feb7__1,8,0.375,0.4358974358974359,1,-0.0608974358974359,-0.625,Best single > human
1ae2feb7__2,8,0.375,0.4358974358974359,1,-0.0608974358974359,-0.625,Best single > human
e87109e9__0,10,0.4,0.0512820512820512,1,0.3487179487179487,-0.6,Best single > human
