model,family,label,pair_accuracy,human_pearson,human_spearman
gpt-5-2-2025-12-11-thinking-xhigh,OpenAI GPT,5.2 xhigh,0.4909090909090909,0.2762636892631837,0.2764117787817283
gpt-5-2-pro-2025-12-11-high,OpenAI GPT,gpt-5-2-pro-2025-12-11-high,0.4636363636363636,0.2732627067187083,0.27076946172503263
gemini-3-deep-think-preview,Gemini Pro/Deep,gemini-3-deep-think-preview,0.35454545454545455,0.2348907325060507,0.23486669484783784
gpt-5-2-pro-2025-12-11-medium,OpenAI GPT,gpt-5-2-pro-2025-12-11-medium,0.3,0.273344995702496,0.2724194251374723
gpt-5-2-2025-12-11-thinking-high,OpenAI GPT,5.2 high,0.2909090909090909,0.22448304523482873,0.21167699630229714
claude-opus-4-5-20251101-thinking-64k,Claude Opus,Opus 64k,0.2909090909090909,0.4296310739400061,0.42430180005072393
gemini-3-flash-preview-thinking-high,Gemini Flash,Flash high,0.24545454545454545,0.32222187550826015,0.3094198704819107
gpt-5-2-2025-12-11-thinking-medium,OpenAI GPT,5.2 med,0.22727272727272727,0.3057816642556536,0.2865940322584858
gemini-3-pro-preview,Gemini Pro/Deep,gemini-3-pro-preview,0.21818181818181817,0.2894729802309382,0.29045080401524326
claude-opus-4-5-20251101-thinking-32k,Claude Opus,Opus 32k,0.2,0.3512253950788342,0.33900045731696465
claude-opus-4-5-20251101-thinking-16k,Claude Opus,Opus 16k,0.16363636363636364,0.4385003673021131,0.42627383705878746
gpt-5-pro-2025-10-06,OpenAI GPT,gpt-5-pro-2025-10-06,0.11818181818181818,0.0719616266574216,0.06667374777974111
gpt-5-1-2025-11-13-thinking-high,OpenAI GPT,5.1 high,0.10909090909090909,0.10060086396583977,0.08515089548996262
gemini-3-flash-preview-thinking-medium,Gemini Flash,Flash med,0.09090909090909091,0.24565193160809926,0.2385882483227626
gpt-5-1-2025-11-13-thinking-medium,OpenAI GPT,5.1 med,0.08181818181818182,0.16029166127181402,0.1533934554539109
gpt-5-2-2025-12-11-thinking-low,OpenAI GPT,5.2 low,0.08181818181818182,0.05025545805742598,0.04816449795822459
claude-sonnet-4-5-20250929-thinking-32k,Claude Sonnet,claude-sonnet-4-5-20250929-thinking-32k,0.08181818181818182,0.3070668662823964,0.293698732114826
claude-opus-4-5-20251101-thinking-8k,Claude Opus,Opus 8k,0.08181818181818182,0.32098863369532415,0.3078339652112615
grok-4-fast-reasoning,Other,grok-4-fast-reasoning,0.045454545454545456,0.030816566018248056,0.024799561460790577
claude-sonnet-4-5-20250929-thinking-16k,Claude Sonnet,claude-sonnet-4-5-20250929-thinking-16k,0.045454545454545456,0.22185532308694622,0.21217402583120828
claude-haiku-4-5-20251001-thinking-32k,Claude Haiku,claude-haiku-4-5-20251001-thinking-32k,0.03636363636363636,0.18526469665248527,0.1740059428057066
claude-sonnet-4-5-20250929-thinking-8k,Claude Sonnet,claude-sonnet-4-5-20250929-thinking-8k,0.03636363636363636,0.24641725657798047,0.23992889911095225
claude-opus-4-5-20251101-thinking-1k,Claude Opus,claude-opus-4-5-20251101-thinking-1k,0.02727272727272727,0.21240405013527167,0.2043885773420752
claude-sonnet-4-5-20250929,Claude Sonnet,claude-sonnet-4-5-20250929,0.02727272727272727,0.18830731213484259,0.19645971011759814
claude-opus-4-5-20251101-thinking-none,Claude Opus,claude-opus-4-5-20251101-thinking-none,0.01818181818181818,0.17262240986844274,0.1621702640232261
claude-haiku-4-5-20251001-thinking-8k,Claude Haiku,claude-haiku-4-5-20251001-thinking-8k,0.01818181818181818,0.20526175126324672,0.19761144755148083
claude-haiku-4-5-20251001-thinking-16k,Claude Haiku,claude-haiku-4-5-20251001-thinking-16k,0.01818181818181818,0.20526175126324672,0.19761144755148083
gpt-5-1-2025-11-13-thinking-low,OpenAI GPT,5.1 low,0.01818181818181818,0.021665455917474374,0.022553480427071174
claude-sonnet-4-5-20250929-thinking-1k,Claude Sonnet,claude-sonnet-4-5-20250929-thinking-1k,0.01818181818181818,0.1399830684736388,0.13854280833772292
gemini-3-flash-preview-thinking-minimal,Gemini Flash,Flash min,0.01818181818181818,0.17262240986844282,0.1621702640232261
claude-haiku-4-5-20251001-thinking-1k,Claude Haiku,claude-haiku-4-5-20251001-thinking-1k,0.0,,
claude-haiku-4-5-20251001,Claude Haiku,claude-haiku-4-5-20251001,0.0,,
gemini-3-flash-preview-thinking-low,Gemini Flash,Flash low,0.0,,
gpt-4-1-2025-04-14,OpenAI GPT,gpt-4-1-2025-04-14,0.0,,
gpt-4-1-nano-2025-04-14,OpenAI GPT,gpt-4-1-nano-2025-04-14,0.0,,
gpt-5-1-2025-11-13-thinking-none,OpenAI GPT,gpt-5-1-2025-11-13-thinking-none,0.0,,
gpt-4-1-mini-2025-04-14,OpenAI GPT,gpt-4-1-mini-2025-04-14,0.0,,
gpt-5-2-2025-12-11-thinking-none,OpenAI GPT,gpt-5-2-2025-12-11-thinking-none,0.0,,
qwen3-235b-a22b-instruct-2507,Other,qwen3-235b-a22b-instruct-2507,0.0,,
