task_pair_id,task_ID,task_set,test_index,attempts,solve_count,solve_rate,mean_duration_seconds,median_duration_seconds,mean_submissions,median_submissions,mean_pred_prob,outfit,difficulty,point_biserial,ability_gap,n_train_pairs,n_test_pairs,input_rows,input_cols,input_cells,input_colors,output_rows,output_cols,output_cells,output_colors,size_change_ratio,difficulty_rank
f931b4a8__0,f931b4a8,Public Eval,0,15,2,0.13333333333333333,216.38633333333334,168.422,1.4,1.0,0.22574780443760903,0.5289144687639727,2.7830302080434555,0.16668663672443948,0.8659655613868968,5.0,2.0,8.0,8.0,64.0,5.0,10.0,8.0,80.0,4.0,1.25,1.0
f3e14006__1,f3e14006,Public Train,1,10,2,0.2,195.20350000000002,131.3425,0.6,0.0,0.3224579132842512,0.5617623188712324,2.4596809038817344,0.1397296093744772,1.146362341304172,4.0,2.0,10.0,10.0,100.0,5.0,10.0,10.0,100.0,5.0,1.0,2.0
34b99a2b__0,34b99a2b,Public Train,0,9,3,0.3333333333333333,240.8248888888889,117.01,0.7777777777777778,0.0,0.4572196258160229,0.6459643817347085,2.240810797500149,0.5172400520756868,2.148590287793621,4.0,1.0,5.0,9.0,45.0,4.0,5.0,4.0,20.0,2.0,0.4444444444444444,3.0
1c56ad9f__0,1c56ad9f,Public Train,0,8,2,0.25,402.57925,415.3295,2.75,2.0,0.38883086905016095,0.5712026802791049,2.2321195995426697,0.34583982225650917,1.7727744907753868,4.0,1.0,15.0,15.0,225.0,2.0,15.0,15.0,225.0,2.0,1.0,4.0
8b28cd80__1,8b28cd80,Public Train,1,8,2,0.25,269.48312500000003,213.584,2.875,2.0,0.38638934407236974,0.3509707831809881,2.1931935294404705,0.5235091764813709,2.605018627257644,5.0,2.0,3.0,3.0,9.0,2.0,9.0,9.0,81.0,2.0,9.0,5.0
7b3084d4__0,7b3084d4,Public Eval,0,9,2,0.2222222222222222,372.9845555555555,406.359,2.4444444444444446,2.0,0.3425204863274683,0.3072718688531196,2.176322838331733,0.4868967378524982,2.7059249870516466,3.0,1.0,20.0,20.0,400.0,6.0,14.0,14.0,196.0,5.0,0.49,6.0
da515329__0,da515329,Public Eval,0,9,3,0.3333333333333333,314.03511111111106,292.231,0.7777777777777778,1.0,0.4499108715956418,0.6203389162587902,2.1093033622740722,0.3572549800542167,1.235402101499739,3.0,1.0,26.0,26.0,676.0,2.0,26.0,26.0,676.0,2.0,1.0,7.0
5545f144__0,5545f144,Public Eval,0,10,2,0.2,165.2467,179.2715,1.0,1.0,0.30432428155677316,0.6258783870279355,2.0970807822357473,0.32072039121305884,0.777714250900303,3.0,1.0,15.0,15.0,225.0,2.0,15.0,15.0,225.0,2.0,1.0,8.0
e12f9a14__1,e12f9a14,Public Eval,1,10,2,0.2,370.3621,287.5455,2.4,2.0,0.30333287353013405,0.38398426587160517,2.0771812521823225,0.5033187665086887,1.8877458425223717,4.0,2.0,30.0,30.0,900.0,7.0,30.0,30.0,900.0,7.0,1.0,9.0
0934a4d8__0,0934a4d8,Public Eval,0,9,4,0.4444444444444444,467.1472222222222,249.635,2.3333333333333335,2.0,0.5578811214473587,0.6801046227315841,2.05273546793332,0.4095632343278796,1.2790082464265382,4.0,1.0,30.0,30.0,900.0,9.0,9.0,3.0,27.0,6.0,0.03,10.0
7d419a02__0,7d419a02,Public Train,0,9,3,0.3333333333333333,204.22877777777776,133.592,1.3333333333333333,1.0,0.44659439240795606,0.503310680025217,2.049080791805327,0.43947473900373535,2.2889480688031054,3.0,1.0,25.0,20.0,500.0,3.0,25.0,20.0,500.0,4.0,1.0,11.0
35ab12c3__0,35ab12c3,Public Eval,0,12,4,0.3333333333333333,284.18625,247.4315,2.5,1.5,0.41657141079777205,0.7159873061508462,2.0084274059009597,0.17018315254313798,1.338823773704934,3.0,1.0,21.0,21.0,441.0,7.0,21.0,21.0,441.0,7.0,1.0,12.0
269e22fb__0,269e22fb,Public Eval,0,13,3,0.23076923076923078,572.4791538461538,455.835,0.5384615384615384,0.0,0.3069215829624584,0.4727219128938835,1.9904809881780474,0.5008341835441227,1.4996423232441223,5.0,2.0,10.0,10.0,100.0,2.0,20.0,20.0,400.0,2.0,4.0,13.0
a8610ef7__0,a8610ef7,Public Train,0,10,3,0.3,172.3753,121.39,1.0,0.5,0.39774776784469107,0.5131939398170882,1.9655865132175385,0.511795571618237,1.523085296314102,4.0,1.0,6.0,6.0,36.0,2.0,6.0,6.0,36.0,3.0,1.0,14.0
ce039d91__0,ce039d91,Public Train,0,8,2,0.25,110.479375,51.805499999999995,0.375,0.0,0.37160970625340417,0.4418173516031789,1.9564179842573144,0.5557112060609717,1.5447381394978017,4.0,1.0,10.0,10.0,100.0,2.0,10.0,10.0,100.0,3.0,1.0,15.0
310f3251__0,310f3251,Public Train,0,9,3,0.3333333333333333,453.28533333333337,391.818,3.0,3.0,0.44088375752740383,0.7024636450168362,1.9468039572803861,0.42729198500028764,1.099382297575778,5.0,1.0,4.0,4.0,16.0,2.0,12.0,12.0,144.0,3.0,9.0,16.0
6ffbe589__0,6ffbe589,Public Eval,0,9,2,0.2222222222222222,341.4912222222222,312.099,2.0,2.0,0.32673051020094585,0.41097798649041617,1.891717070168452,0.2838049667436666,1.5671774572783899,3.0,1.0,20.0,20.0,400.0,4.0,13.0,13.0,169.0,4.0,0.4225,17.0
62593bfd__0,62593bfd,Public Eval,0,12,3,0.25,350.94425,278.379,1.8333333333333333,1.0,0.3261092084250163,0.727997769045824,1.8372481275084165,0.4145832170570269,1.3897909543388098,2.0,2.0,25.0,25.0,625.0,5.0,25.0,25.0,625.0,5.0,1.0,18.0
f9d67f8b__0,f9d67f8b,Public Train,0,9,4,0.4444444444444444,586.9981111111111,528.643,0.7777777777777778,1.0,0.5453173130541898,0.9740136898302632,1.8266129569967349,-0.03535619672843949,0.8670222640775134,4.0,1.0,30.0,30.0,900.0,9.0,30.0,30.0,900.0,8.0,1.0,19.0
e9fc42f2__1,e9fc42f2,Public Train,1,9,3,0.3333333333333333,335.898,203.404,1.1111111111111112,1.0,0.4334218047386371,0.4945615597336799,1.8121962797987963,0.44423049227253364,1.793778176957262,3.0,2.0,13.0,13.0,169.0,5.0,8.0,11.0,88.0,5.0,0.5207100591715976,20.0
a096bf4d__0,a096bf4d,Public Train,0,9,3,0.3333333333333333,328.49066666666664,210.695,1.0,1.0,0.43301732549387295,0.4483342221382762,1.8051681545917757,0.5097076738520064,2.200773001705316,3.0,1.0,26.0,26.0,676.0,7.0,26.0,26.0,676.0,7.0,1.0,21.0
88bcf3b4__1,88bcf3b4,Public Eval,1,9,3,0.3333333333333333,332.22133333333335,299.8,1.8888888888888888,1.0,0.4325975115612242,0.5167406613165703,1.7972089038492547,0.443785238173352,1.54768489997224,5.0,2.0,27.0,27.0,729.0,8.0,27.0,27.0,729.0,8.0,1.0,22.0
2b83f449__0,2b83f449,Public Eval,0,9,2,0.2222222222222222,431.8553333333333,335.984,2.5555555555555554,1.0,0.32106732268814653,0.697521245732959,1.790107149033812,0.45581676447008496,1.592275368326351,2.0,1.0,19.0,17.0,323.0,4.0,19.0,17.0,323.0,4.0,1.0,23.0
c920a713__0,c920a713,Public Train,0,10,2,0.2,193.24579999999997,145.679,0.8,0.0,0.288701803749381,0.39983124083408494,1.78475987081648,0.36933228673387614,1.8547548902524802,3.0,1.0,25.0,25.0,625.0,8.0,13.0,13.0,169.0,7.0,0.2704,24.0
a32d8b75__0,a32d8b75,Public Eval,0,10,3,0.3,554.8192000000001,312.127,1.3,0.5,0.38729497052773487,0.36722858991102425,1.756177389030235,0.7121128175325758,2.0604406844819017,3.0,2.0,30.0,30.0,900.0,8.0,30.0,20.0,600.0,6.0,0.6666666666666666,25.0
6e4f6532__1,6e4f6532,Public Eval,1,10,3,0.3,84.8182,37.6255,0.9,0.0,0.38659359553513506,0.6835556790950787,1.7422814318354913,0.22741596708931033,1.013418353617153,2.0,2.0,30.0,16.0,480.0,7.0,30.0,16.0,480.0,7.0,1.0,26.0
b942fd60__0,b942fd60,Public Train,0,9,4,0.4444444444444444,192.28577777777778,152.755,2.2222222222222223,2.0,0.5348418497261367,0.5292660019575672,1.6381203819793015,0.5692278356137713,1.8569265756569522,6.0,1.0,10.0,12.0,120.0,6.0,10.0,12.0,120.0,6.0,1.0,27.0
271d71e2__0,271d71e2,Public Eval,0,8,3,0.375,273.27325,273.97950000000003,1.625,1.5,0.4744480146649322,0.7521353546901098,1.6016160170834892,-0.10339446158511446,1.0047217549066725,3.0,1.0,26.0,26.0,676.0,5.0,26.0,26.0,676.0,5.0,1.0,28.0
221dfab4__1,221dfab4,Public Eval,1,11,4,0.36363636363636365,302.7274545454545,306.497,1.6363636363636365,2.0,0.43584934954013294,0.5465573359283905,1.5991446261625206,0.3907123910421289,1.4444145572994422,2.0,2.0,30.0,30.0,900.0,3.0,30.0,30.0,900.0,4.0,1.0,29.0
7c66cb00__0,7c66cb00,Public Eval,0,11,6,0.5454545454545454,326.78145454545455,154.295,2.909090909090909,3.0,0.6167756091400108,0.852178707474942,1.5797786904830273,0.42290701999302693,1.2884732764961606,3.0,1.0,30.0,24.0,720.0,5.0,30.0,24.0,720.0,5.0,1.0,30.0
4ff4c9da__0,4ff4c9da,Public Train,0,9,3,0.3333333333333333,203.31066666666666,127.886,1.2222222222222223,0.0,0.42008996574735824,0.4998785814451281,1.5724234483750978,0.4751701261762465,2.210542538645512,3.0,1.0,27.0,27.0,729.0,4.0,27.0,27.0,729.0,4.0,1.0,31.0
8719f442__0,8719f442,Public Train,0,9,4,0.4444444444444444,358.2343333333333,194.702,1.8888888888888888,1.0,0.5308993388146438,0.7142354567289972,1.5669421012711418,0.22115704375832662,1.4214236513151102,3.0,1.0,3.0,3.0,9.0,2.0,15.0,15.0,225.0,2.0,25.0,32.0
b0039139__1,b0039139,Public Eval,1,10,3,0.3,169.6198,114.37100000000001,1.3,0.5,0.37760269311976413,0.46192831922562594,1.5625825619710192,0.6201594702303047,1.6891582152490623,4.0,2.0,7.0,29.0,203.0,6.0,5.0,29.0,145.0,2.0,0.7142857142857143,33.0
195c6913__1,195c6913,Public Eval,1,18,6,0.3333333333333333,211.04955555555554,207.9785,1.8888888888888888,1.5,0.37596433439824933,0.7955223568369727,1.5454382472902342,0.024619168268005268,0.816621442080528,3.0,2.0,30.0,30.0,900.0,5.0,30.0,30.0,900.0,5.0,1.0,34.0
54dc2872__0,54dc2872,Public Train,0,9,3,0.3333333333333333,210.86833333333334,163.967,1.6666666666666667,1.0,0.41812133974078414,0.2661215727267876,1.5370907392146118,0.8276620009341257,3.03795606695713,2.0,1.0,12.0,13.0,156.0,7.0,12.0,13.0,156.0,7.0,1.0,35.0
e78887d1__0,e78887d1,Public Train,0,9,3,0.3333333333333333,277.4808888888889,231.594,1.3333333333333333,1.0,0.4179912153504943,0.8611863155309739,1.5346816497767775,0.21805975407441644,1.0833541293254196,4.0,1.0,9.0,15.0,135.0,5.0,3.0,15.0,45.0,5.0,0.3333333333333333,36.0
fea12743__0,fea12743,Public Train,0,9,4,0.4444444444444444,192.99322222222224,114.918,1.1111111111111112,1.0,0.528586068933247,1.0131965182995062,1.525501594446446,-0.02937597403083612,0.6823073147317242,3.0,1.0,16.0,11.0,176.0,2.0,16.0,11.0,176.0,4.0,1.0,37.0
9bbf930d__0,9bbf930d,Public Eval,0,9,4,0.4444444444444444,219.5582222222222,168.534,2.111111111111111,1.0,0.5283024775442439,1.0261000849531487,1.520222521417987,0.20847816478425443,0.6424176752225278,3.0,1.0,23.0,21.0,483.0,8.0,23.0,21.0,483.0,8.0,1.0,38.0
c7f57c3e__0,c7f57c3e,Public Eval,0,9,4,0.4444444444444444,338.3834444444444,203.029,2.111111111111111,2.0,0.5277185070452451,0.9891831707255897,1.5098767072541441,0.3456639356093815,1.3983365967607968,2.0,1.0,28.0,28.0,784.0,6.0,28.0,28.0,784.0,6.0,1.0,39.0
90347967__0,90347967,Public Train,0,9,4,0.4444444444444444,255.15155555555555,222.664,4.0,2.0,0.5249570697537815,0.4172043165390325,1.460099088971179,0.7869564084063438,2.2406996398397636,3.0,1.0,9.0,9.0,81.0,6.0,9.0,9.0,81.0,6.0,1.0,40.0
fc7cae8d__0,fc7cae8d,Public Eval,0,10,4,0.4,347.4332,335.62,1.4,1.0,0.47170636613345185,0.5734220039898655,1.4447721289234425,0.4940035530259588,1.4689892393733737,3.0,1.0,29.0,29.0,841.0,9.0,20.0,12.0,240.0,6.0,0.2853745541022592,41.0
d94c3b52__0,d94c3b52,Public Train,0,9,5,0.5555555555555556,280.88644444444446,203.836,2.3333333333333335,1.0,0.634557175254973,0.6381963280002481,1.4327895752966289,0.43495571658059423,1.5452835821448747,3.0,1.0,17.0,25.0,425.0,3.0,17.0,25.0,425.0,4.0,1.0,42.0
269e22fb__1,269e22fb,Public Eval,1,9,3,0.3333333333333333,500.79088888888896,469.413,0.4444444444444444,0.0,0.41127732420642116,0.8192392349651062,1.413642680401988,-0.05257699129678027,0.6533502144292538,5.0,2.0,11.0,10.0,110.0,2.0,20.0,20.0,400.0,2.0,3.6363636363636362,43.0
2d0172a1__1,2d0172a1,Public Eval,1,10,4,0.4,216.7895,180.0285,1.4,0.5,0.46999149489003206,1.0642987256369723,1.4103738816550078,-0.2690769581809647,0.3152830097493584,4.0,2.0,25.0,25.0,625.0,2.0,14.0,11.0,154.0,2.0,0.2464,44.0
b1986d4b__0,b1986d4b,Public Train,0,8,2,0.25,307.93725,314.68600000000004,2.25,2.0,0.33725201775842606,0.7743558235174457,1.406820552864159,-0.1561487244121901,0.4697596217278094,3.0,1.0,26.0,25.0,650.0,5.0,5.0,27.0,135.0,4.0,0.2076923076923077,45.0
66f2d22f__0,66f2d22f,Public Train,0,9,5,0.5555555555555556,294.2626666666667,206.729,1.1111111111111112,1.0,0.6322712336736169,0.658101096387907,1.3917779551335412,0.4467033041860141,1.8638449275744855,4.0,1.0,4.0,14.0,56.0,3.0,4.0,7.0,28.0,2.0,0.5,46.0
