model,type,pair_accuracy
gpt-5-2-2025-12-11-thinking-xhigh,Thinking,0.47904191616766467
gpt-5-2-pro-2025-12-11-high,Standard,0.46107784431137727
gemini-3-deep-think-preview,Thinking,0.3652694610778443
gpt-5-2-pro-2025-12-11-medium,Standard,0.31736526946107785
claude-opus-4-5-20251101-thinking-64k,Thinking,0.2994011976047904
gpt-5-2-2025-12-11-thinking-high,Thinking,0.2754491017964072
gemini-3-flash-preview-thinking-high,Thinking,0.25149700598802394
gpt-5-2-2025-12-11-thinking-medium,Thinking,0.2155688622754491
gemini-3-pro-preview,Thinking,0.2155688622754491
claude-opus-4-5-20251101-thinking-32k,Thinking,0.20359281437125748
claude-opus-4-5-20251101-thinking-16k,Thinking,0.16766467065868262
gpt-5-1-2025-11-13-thinking-high,Thinking,0.10778443113772455
gpt-5-pro-2025-10-06,Thinking,0.10778443113772455
claude-sonnet-4-5-20250929-thinking-32k,Thinking,0.07784431137724551
gemini-3-flash-preview-thinking-medium,Thinking,0.0718562874251497
claude-opus-4-5-20251101-thinking-8k,Thinking,0.0718562874251497
gpt-5-1-2025-11-13-thinking-medium,Thinking,0.0658682634730539
gpt-5-2-2025-12-11-thinking-low,Thinking,0.0658682634730539
claude-sonnet-4-5-20250929-thinking-8k,Thinking,0.04790419161676647
claude-sonnet-4-5-20250929-thinking-16k,Thinking,0.04790419161676647
claude-haiku-4-5-20251001-thinking-32k,Thinking,0.03592814371257485
grok-4-fast-reasoning,Thinking,0.03592814371257485
claude-opus-4-5-20251101-thinking-1k,Thinking,0.023952095808383235
claude-sonnet-4-5-20250929,Standard,0.023952095808383235
claude-opus-4-5-20251101-thinking-none,Standard,0.023952095808383235
claude-haiku-4-5-20251001-thinking-8k,Thinking,0.017964071856287425
claude-haiku-4-5-20251001-thinking-16k,Thinking,0.017964071856287425
gpt-5-1-2025-11-13-thinking-low,Thinking,0.017964071856287425
claude-sonnet-4-5-20250929-thinking-1k,Thinking,0.017964071856287425
gemini-3-flash-preview-thinking-minimal,Thinking,0.011976047904191617
gemini-3-flash-preview-thinking-low,Thinking,0.005988023952095809
claude-haiku-4-5-20251001,Standard,0.0
claude-haiku-4-5-20251001-thinking-1k,Thinking,0.0
gpt-4-1-2025-04-14,Standard,0.0
gpt-4-1-nano-2025-04-14,Standard,0.0
gpt-5-1-2025-11-13-thinking-none,Standard,0.0
gpt-4-1-mini-2025-04-14,Standard,0.0
gpt-5-2-2025-12-11-thinking-none,Standard,0.0
qwen3-235b-a22b-instruct-2507,Standard,0.0
